fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,Nov,18,MAHARASHTRA,1807,DHULE,1040224,265.204249950011,30,93,582.055100639,5615,15,26498,1040224,60597,16439,221345,81146,83.68805,3424.461407639,33995,56836,94683,263411,1526,424720,904554,32113,2758.718257,409725,88,29.46,0.64,100.34,
2023-2024,Nov,18,MAHARASHTRA,1814,KOLHAPUR,323894,271.136374616387,24,44,535.662427812,3434,92,9728,323894,51793,19502,725,297,62.76574,1476.622617012,13472,23840,45799,112242,262,346172,609895,13162,878.1944492,140174,92,41.93,0.0,99.92,
2023-2024,Nov,18,MAHARASHTRA,1818,BEED,5985365,246.632208422048,42,255,4636.058976248,1855,69,58127,5992034,99826,14562,9256,1733,441.36035,19855.705109848,140304,238780,225312,560145,13681,629733,1322364,59982,14778.2857836,2452343,79,60.17,5.91,123.36,
2023-2024,Nov,18,MAHARASHTRA,1820,Dharashiv,1167260,258.151723081666,39,117,1449.996791834,1883,53,22849,1161216,90260,25258,5551,1076,137.57363,4585.269534534,29185,45337,70316,187349,2166,312993,689105,24732,2997.6991127,441733,82,62.53,0.5,100.29,
2023-2024,Nov,18,MAHARASHTRA,1823,AKOLA,751862,268.953058460196,24,1508,293.94368671,4906,5,17808,751862,130678,34159,34250,9340,121.88939,2437.98892111,30978,44654,81707,187418,797,280652,545502,22714,2022.1558444,268163,89,34.38,0.76,101.0,
2023-2024,Nov,18,MAHARASHTRA,1827,NAGPUR,1071180,259.9499172408,32,278,2162.117666567,5086,34,16507,1071180,152216,34228,135878,30779,148.75984,5095.409030067,33335,47776,102511,236238,1651,269358,524035,21593,2784.5315235,435705,82,56.05,3.76,102.41,
2023-2024,Nov,18,MAHARASHTRA,1835,PALGHAR,2682397,250.187049937053,36,702,3329.343461334,13064,19,34961,2682397,10318,1876,2487033,350583,492.05803,10532.411413234,73622,143302,130784,392378,4408,294383,707040,48025,6711.0099219,1474399,84,22.46,11.29,99.95,
2023-2024,Oct,18,MAHARASHTRA,1809,AHMEDNAGAR,1591018,274.76121303593,30,105,1552.197649886,12635,21,37004,1591018,113595,35661,75446,27688,156.13927,6079.837276306,51517,83606,157289,451359,2869,757727,1879706,49639,4371.50035642,649711,86,69.51,0.55,101.05,
2023-2024,Oct,18,MAHARASHTRA,1814,KOLHAPUR,291585,270.929456247749,23,42,476.458351692,2803,103,10074,291585,47541,19497,692,294,48.75987,1315.207876692,12170,21529,45547,111794,226,345229,608202,12877,789.989655,127098,92,42.22,0.0,99.97,
2023-2024,Oct,18,MAHARASHTRA,1817,PARBHANI,2424039,256.548063970883,35,144,1295.509224696,1458,37,33572,2423884,115647,20669,12707,2773,170.69966,7684.636359596,68184,110553,128284,296095,3442,386045,764035,35030,6218.4274749,949370,90,66.24,0.04,102.28,
2023-2024,Oct,18,MAHARASHTRA,1819,NANDED,2395371,267.316243663299,33,122,2500.617730802,4452,46,41922,2395371,330046,77417,175007,36099,22.74285,8926.576359802,72555,115436,161320,436648,3321,630790,1446990,46374,6403.215779,1054977,87,51.08,1.25,102.46,
