fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,March,18,MAHARASHTRA,1825,YAVATMAL,3787163,291.246209395791,36,532,4280.21312176099,21934,19,32345,4578220,325271,39700,639277,71848,440.23843,18054.343759561,124257,185759,196429,454707,8048,668106,1380746,54279,13333.8922078,1945492,91,53.2,11.52,99.88,NA
2023-2024,March,18,MAHARASHTRA,1828,BHANDARA,3325776,201.890951104169,29,5332,4852.559545922,17198,5,15314,3803085,492157,62547,308620,34184,362.09774,12892.741763722,130548,217040,192731,463649,3219,285323,627855,32512,7678.0844778,2321460,84,23.59,14.18,101.39,NA
2023-2024,March,18,MAHARASHTRA,1831,NANDURBAR,1832955,293.674037769077,28,136,5239.97892939003,17448,12,43203,2122583,66706,12407,1684712,343270,258.53705,11731.99118049,74367,111815,169734,408156,2730,523887,1069827,60651,6233.4752011,926631,81,28.68,2.82,106.11,NA
2023-2024,March,18,MAHARASHTRA,1833,GONDIA,4838189,215.002754584527,40,368,12828.6866226819,22449,13,28520,6788541,659685,53526,1350599,91430,342.45079,27766.6875587819,168127,278202,239023,616120,13744,350050,831612,50969,14595.5501461,4662084,82,24.65,9.43,102.56,NA
2023-2024,March,18,MAHARASHTRA,1834,HINGOLI,2331122,319.484461893426,43,119,2999.620902081,4317,2,22610,2670261,467486,46393,490181,44518,248.02033,11778.710219081,61676,101822,94249,243669,8179,257601,588382,26927,8531.06898700001,1257052,91,73.11,0.42,102.52,NA
2023-2024,Feb,18,MAHARASHTRA,1802,THANE,311615,264.902008274262,28,44,407.361342602999,3756,2,10351,348309,14201,3294,128909,36319,50.89534,1380.934218603,12294,21851,29446,94342,373,134486,320431,14107,922.677536,145351,94,64.96,3.07,105.37,NA
2023-2024,Feb,18,MAHARASHTRA,1803,RAIGAD,255302,270.907174891054,24,56,217.348392073,1708,50,17551,283628,7989,3098,62489,14535,9.29666,995.013654073,11521,19926,29603,69053,281,186190,337026,19259,768.368602,118857,64,58.06,3.77,109.63,NA
2023-2024,Feb,18,MAHARASHTRA,1805,SINDHUDURG,357261,270.82417247203,26,129,280.307530756,6565,7,17768,397908,11625,4124,1348,341,47.92213,1405.860708956,15130,25355,41014,94044,458,127747,240621,24333,1077.6310482,158124,72,79.74,4.04,99.75,NA
2023-2024,Feb,18,MAHARASHTRA,1807,DHULE,1292858,256.237962433215,35,118,693.984826839,8752,12,24914,1487431,76916,16443,282860,81175,110.31139,4615.659103839,41777,69783,95069,264048,2773,434124,915682,33666,3811.362887,576574,89,34.58,0.68,101.62,NA
2023-2024,Feb,18,MAHARASHTRA,1813,SOLAPUR,833479,219.327055274886,31,74,685.210242422,6927,16,19784,1054421,57581,15282,9682,2523,103.29541,3101.136181922,33556,56199,76014,176161,1640,544802,942236,26711,2312.6305295,385660,96,75.07,0.01,113,NA
2023-2024,Feb,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,7320553,232.6162192465,59,1207,5389.120186901,9731,11,71454,9687881,282626,27696,157939,11999,479.07191,28403.774604201,161688,288881,215227,574601,29329,670758,1426866,81185,22535.5825073,3997263,94,74.09,0.51,122.75,NA
2023-2024,Feb,18,MAHARASHTRA,1817,PARBHANI,4327907,244.277567719863,55,203,1702.744103316,3055,28,34140,5398453,223540,20744,24507,2779,417.39602,15307.349806216,96480,157501,133097,302609,14968,404378,786941,37195,13187.2096829,2106001,90,70.96,0.05,114.21,NA
2023-2024,Feb,18,MAHARASHTRA,1821,LATUR,3909103,261.155103955093,58,209,3660.446467453,6495,5,27468,4641812,544599,56318,50031,3966,391.09995,16173.875371453,79785,132567,117761,299779,13594,381054,813288,33963,12122.328954,1894478,87,60.41,0.41,99.66,NA
2023-2024,Feb,18,MAHARASHTRA,1827,NAGPUR,1358906,249.46227051916,38,331,2559.381600663,6604,26,16645,1606267,219656,34309,206352,30874,204.32532,6770.737049463,41674,60598,103153,237142,3205,274805,530467,23249,4007.0301288,656022,83,59.07,3.46,104.12,NA
2023-2024,Feb,18,MAHARASHTRA,1829,CHANDRAPUR,3620741,227.119553929848,41,618,5666.55999062799,15427,4,26870,4297889,493064,66427,1078701,108697,329.9022,15757.808515828,104692,186081,174782,502058,7669,376639,907399,42297,9761.3463252,2154903,80,32.12,12.91,101.44,NA
2023-2024,Feb,18,MAHARASHTRA,1835,PALGHAR,3889583,227.809362343046,58,900,3812.040010663,16455,12,34737,5253436,17306,1886,4913991,351995,610.92313,16390.782193363,90180,178382,131897,394019,15885,301804,715352,51192,11967.8190527,2995401,84,20.04,17.63,105.02,NA
2023-2024,April,18,MAHARASHTRA,1802,THANE,24404,113.18038026553,12,6,0.236,90,276,10602,24404,1088,3263,9818,36137,0.25919,28.11573,1928,3279,28980,93314,0,129233,314076,10692,27.62054,10587,94,70.33,0.4,203.09,NA
2023-2024,April,18,MAHARASHTRA,1805,SINDHUDURG,24152,233.313472590262,10,16,16.393696692,320,168,19992,24152,784,4122,47,334,0,72.743566592,2287,3529,40364,92803,0,124615,237098,20312,56.3498699,9608,67,60.26,5.8,100,NA
2023-2024,April,18,MAHARASHTRA,1810,PUNE,17438,381.661486408992,11,3,55.827261111,172,815,24517,17438,797,10599,5427,21498,0.24084,122.622231111,1477,2214,55342,147851,0,356789,774905,24689,66.55413,8233,92,84.53,0.16,133.16,NA
2023-2024,April,18,MAHARASHTRA,1814,KOLHAPUR,11636,317.058746132692,11,3,49.766166969,260,855,10756,11636,1564,19341,24,294,0.84256,87.501682669,1039,1831,44150,109192,0,340750,601309,11016,36.8929557,5495,91,62.23,0,100,NA
2023-2024,April,18,MAHARASHTRA,1818,BEED,22345,783.889415976729,9,4,270.789265121,104,862,47994,22345,312,14402,18,1723,8.83778,454.787135121,2425,3938,210010,535327,0,598111,1277102,48098,175.16009,9682,77,44.12,6.27,106.97,NA
2023-2024,April,18,MAHARASHTRA,1825,YAVATMAL,124402,201.635584636903,16,22,171.0304711,419,845,41659,124402,6534,39552,13631,71305,0.799,422.6681711,7661,10390,192585,448885,2,644898,1353612,42078,250.8387,54437,90,46.54,19.24,102.06,NA
2023-2024,April,18,MAHARASHTRA,1826,WARDHA,44161,155.877089513371,14,21,12.38562,156,321,10376,44161,5135,16316,3768,13200,3.06556,84.2880615,2984,4779,48554,120223,0,201456,382054,10532,68.8368815,18341,87,71.26,0.09,126.77,NA
2023-2024,April,18,MAHARASHTRA,1828,BHANDARA,84997,256.730446956951,10,300,38.513514831,429,184,22469,84997,10677,62529,7964,34166,3.60832,260.335012831,8012,11743,192523,463291,0,282337,630219,22898,218.213178,41570,87,37.4,0.07,189.19,NA
